Ticker,Historical Vol Past 1 Year,Volume_Ratio,Avg_Volume_20d,Price_Change_1d,Price_Change_5d,Price_Change_20d,Options_Proxy,Put_Call_Proxy,Short_Ratio,Short_Percent,Volume_Score,Price_Change_Score,Relative_Strength_Score,Historical_Vol_Score,Options_Score,Short_Squeeze_Score,Composite_Score,Rank
FOX,0.27,0.83,1088245.0,0.83,1.95,4.43,0.0,1.1667,4.06,0.03,46.81528662420382,63.05732484076433,73.24840764331209,49.36305732484077,23.59872611464968,66.36942675159236,56.17834394904459,51.0
DRI,0.29,0.86,1008005.0,0.99,0.59,2.01,0.0005,3.9208,3.64,0.05,56.36942675159236,45.22292993630573,56.05095541401274,59.23566878980891,64.87261146496814,69.64968152866243,56.12738853503185,52.0
GWW,0.25,0.94,353355.0,2.8,5.35,-2.82,0.001,0.4257,3.0,0.03,67.51592356687898,72.61146496815286,26.11464968152866,39.490445859872615,62.10191082802547,68.05732484076432,55.81847133757961,53.0
AFL,0.22,0.86,2594235.0,0.25,3.48,5.5,0.0001,0.7209,3.46,0.01,56.36942675159236,70.06369426751591,82.80254777070064,21.97452229299363,26.401273885350317,44.45859872611465,55.732484076433124,54.0
JPM,0.28,1.12,7664005.0,1.64,1.98,-0.8,0.0036,0.422,2.47,0.01,86.62420382165605,50.318471337579616,34.394904458598724,54.14012738853503,74.84076433121018,31.528662420382165,55.54140127388534,55.0
CMCSA,0.29,1.05,23977140.0,1.64,2.09,1.4,0.0002,0.0624,2.24,0.01,78.343949044586,59.23566878980891,50.955414012738856,59.23566878980891,20.828025477707005,30.38216560509554,54.67515923566879,56.0
GL,0.27,0.69,707730.0,1.16,4.29,4.52,0.0005,0.1396,1.79,0.02,21.656050955414013,78.98089171974523,73.88535031847134,49.36305732484077,39.64968152866242,43.40764331210191,54.56369426751592,57.0
NFLX,0.33,1.06,2951600.0,-0.13,-2.77,2.05,0.0173,0.9393,1.63,0.02,80.2547770700637,19.745222929936308,56.68789808917197,71.01910828025477,89.49044585987261,25.318471337579616,54.45859872611465,58.0
APH,0.36,0.95,7908390.0,0.51,0.14,4.13,0.0001,0.2714,1.49,0.01,69.42675159235668,47.13375796178344,68.78980891719745,77.70700636942675,14.745222929936304,13.885350318471339,53.945859872611464,59.0
NWS,0.22,0.69,813035.0,2.03,3.35,4.39,0.0,1.0,10.48,0.06,21.656050955414013,81.52866242038218,71.97452229299363,21.97452229299363,22.070063694267514,91.87898089171975,53.79936305732484,60.0
FICO,0.43,0.74,369810.0,3.98,5.42,-7.61,0.0031,0.8467,2.12,0.04,31.528662420382165,67.51592356687898,11.464968152866243,90.44585987261146,82.10191082802547,65.4140127388535,53.79617834394904,61.0
FFIV,0.29,0.55,567080.0,0.95,0.6,5.97,0.001,0.0844,3.42,0.04,3.1847133757961785,61.146496815286625,85.98726114649682,59.23566878980891,53.88535031847133,63.31210191082802,53.726114649681534,62.0
DVA,0.33,0.83,864455.0,2.02,3.68,-3.31,0.0003,1.1717,8.22,0.16,46.81528662420382,55.4140127388535,24.840764331210192,71.01910828025477,49.64968152866242,95.85987261146497,53.388535031847134,63.0
IQV,0.38,1.14,1415250.0,3.11,0.03,-4.03,0.0001,2.6,2.96,0.05,87.26114649681529,36.30573248407643,21.656050955414013,81.52866242038218,36.146496815286625,64.10828025477707,53.11464968152866,64.0
FI,0.4,1.25,4914535.0,-0.23,2.18,-1.65,0.0005,3.8909,1.22,0.01,92.35668789808918,27.388535031847134,31.210191082802545,84.71337579617835,64.68152866242038,20.955414012738856,52.831210191082796,65.0
TMUS,0.28,1.04,3841845.0,-2.41,-1.05,3.45,0.0009,2.197,2.87,0.03,76.75159235668791,14.64968152866242,65.60509554140127,54.14012738853503,75.03184713375795,49.77707006369427,52.73566878980892,66.0
CPAY,0.35,0.66,549320.0,4.26,4.26,-1.39,0.0001,2.0,3.84,0.03,15.92356687898089,84.07643312101911,31.84713375796178,75.47770700636943,35.19108280254777,71.94267515923566,52.60828025477707,67.0
HON,0.25,0.97,3383315.0,2.49,2.8,-0.11,0.0008,0.2115,1.92,0.01,72.61146496815286,66.2420382165605,39.490445859872615,39.490445859872615,49.968152866242036,26.43312101910828,52.54458598726115,68.0
MLM,0.25,0.83,440195.0,1.19,-0.28,3.78,0.0002,0.8438,6.22,0.04,46.81528662420382,50.955414012738856,67.51592356687898,39.490445859872615,38.216560509554135,68.98089171974523,52.248407643312106,69.0
VICI,0.19,1.59,7476830.0,1.33,2.77,0.06,0.0,0.2541,4.95,0.03,98.08917197452229,57.961783439490446,42.675159235668794,10.828025477707007,6.592356687898089,71.36942675159236,52.06369426751593,70.0
BSX,0.23,1.49,6321830.0,0.91,2.91,0.03,0.0001,2.7054,2.15,0.01,96.81528662420382,52.86624203821656,42.038216560509554,28.02547770700637,36.71974522292993,30.828025477707005,51.945859872611464,71.0
ATO,0.17,0.75,958265.0,0.85,1.72,7.25,0.0001,0.2188,8.64,0.04,34.71337579617834,70.70063694267516,89.171974522293,0.9554140127388535,13.789808917197451,77.77070063694268,51.7515923566879,72.0
ADBE,0.35,0.81,3793135.0,2.45,2.04,-2.33,0.0022,0.6905,2.98,0.02,43.94904458598726,53.503184713375795,26.751592356687897,75.47770700636943,77.07006369426752,50.668789808917204,51.611464968152866,73.0
APD,0.25,0.82,933575.0,1.97,3.04,0.02,0.0017,0.0674,5.05,0.02,44.5859872611465,63.69426751592356,41.40127388535032,39.490445859872615,60.22292993630573,62.77070063694267,51.34394904458599,74.0
COST,0.22,1.43,2194830.0,-1.15,-1.39,2.61,0.0073,0.8475,2.7,0.01,96.17834394904459,20.382165605095544,61.146496815286625,21.97452229299363,86.30573248407642,23.63057324840764,50.85031847133758,75.0
CDNS,0.41,0.63,1901470.0,0.59,-0.07,5.25,0.0002,0.3106,1.96,0.02,12.738853503184714,52.22929936305732,80.2547770700637,88.53503184713377,26.560509554140125,30.955414012738856,50.68789808917197,76.0
HUBB,0.32,0.58,558623.0,3.11,3.09,-0.38,0.0006,0.4815,3.91,0.05,6.369426751592357,71.97452229299363,36.30573248407643,67.19745222929936,51.87898089171975,80.98726114649682,49.89490445859873,77.0
XEL,0.2,0.88,3840245.0,1.5,3.24,2.2,0.0001,0.3189,3.3,0.02,58.59872611464968,68.78980891719745,57.324840764331206,13.694267515923567,16.65605095541401,56.59235668789809,49.761146496815286,78.0
MCO,0.26,0.94,686415.0,1.28,-0.09,0.78,0.0016,5.6549,2.02,0.01,67.51592356687898,36.94267515923567,47.77070063694268,44.904458598726116,86.97452229299363,17.929936305732486,49.519108280254784,79.0
ECL,0.19,0.96,1202105.0,0.24,1.03,4.41,0.0002,0.7044,2.16,0.01,71.3375796178344,51.59235668789809,72.61146496815286,10.828025477707007,36.687898089171966,24.044585987261147,49.38535031847134,80.0
LII,0.34,1.2,364285.0,3.73,0.04,-10.43,0.0004,0.9213,4.55,0.06,91.0828025477707,23.56687898089172,6.369426751592357,73.56687898089172,52.10191082802547,74.7452229299363,49.101910828025474,81.0
DELL,0.51,0.83,4566370.0,2.35,-5.38,-0.29,0.0023,1.1575,2.63,0.04,46.81528662420382,18.471337579617835,37.57961783439491,94.26751592356688,82.48407643312102,51.592356687898096,49.04458598726115,82.0
BK,0.24,1.06,3269635.0,0.75,1.52,1.61,0.0001,0.7425,2.15,0.01,80.2547770700637,47.77070063694268,53.503184713375795,33.43949044585987,27.165605095541398,25.85987261146497,49.012738853503194,83.0
AWK,0.24,0.59,1635565.0,0.23,1.58,4.79,0.0002,1.8793,5.07,0.04,8.280254777070063,58.59872611464968,77.07006369426752,33.43949044585987,45.47770700636943,74.20382165605096,48.70382165605096,84.0
LIN,0.18,1.2,1487480.0,0.2,0.33,1.86,0.0006,5.0379,3.15,0.01,91.0828025477707,33.75796178343949,55.4140127388535,5.095541401273886,69.84076433121018,31.114649681528665,48.59872611464968,85.0
WELL,0.22,1.08,2587715.0,-1.5,0.94,2.23,0.0003,2.3254,4.14,0.02,82.80254777070064,24.840764331210192,58.59872611464968,21.97452229299363,54.23566878980891,51.17834394904458,48.32802547770701,86.0
RJF,0.29,0.75,901745.0,2.0,1.19,-1.93,0.0009,19.7568,6.83,0.04,34.71337579617834,42.038216560509554,29.936305732484076,59.23566878980891,79.04458598726114,74.64968152866243,47.69426751592357,87.0
NWSA,0.22,0.7,3495755.0,2.56,3.5,3.28,0.0,0.1042,2.81,0.02,24.840764331210192,82.80254777070064,64.3312101910828,21.97452229299363,4.299363057324841,53.72611464968153,47.633757961783445,88.0
GRMN,0.4,0.57,881170.0,2.76,1.54,0.12,0.0002,0.9355,3.11,0.02,5.7324840764331215,61.78343949044586,44.5859872611465,84.71337579617835,39.36305732484076,49.07643312101911,47.060509554140125,89.0
OTIS,0.25,1.34,4072165.0,1.15,1.32,-0.87,0.0001,0.3436,2.11,0.02,94.26751592356688,37.57961783439491,33.75796178343949,39.490445859872615,16.84713375796178,38.34394904458598,46.44267515923567,90.0
ZTS,0.26,0.7,3450085.0,0.65,1.63,2.96,0.0002,1.3069,2.16,0.02,24.840764331210192,54.14012738853503,61.78343949044586,44.904458598726116,43.18471337579618,41.33757961783439,46.04777070063694,91.0
AME,0.23,0.69,1404550.0,1.91,3.08,3.81,0.0001,0.4677,1.57,0.01,21.656050955414013,76.43312101910828,68.15286624203821,28.02547770700637,20.095541401273884,25.477707006369428,45.8312101910828,92.0
EMN,0.39,0.69,2026360.0,5.2,5.92,-11.33,0.0004,1.2156,1.67,0.03,21.656050955414013,68.15286624203821,5.7324840764331215,82.16560509554141,55.35031847133757,54.45859872611465,45.82165605095542,93.0
WRB,0.23,0.76,1871155.0,-0.51,1.91,4.57,0.0001,0.3492,2.76,0.02,37.261146496815286,49.044585987261144,74.84076433121018,28.02547770700637,17.420382165605094,47.547770700636946,45.38216560509554,94.0
